"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;ID;Nombre de la Destreza;
1;13302;Directores y gerentes de sistemas de información y procesamiento de datos / Directoras y gerentas de sistemas de información y procesamiento de datos;39;Creatividad;
1;13302;Directores y gerentes de sistemas de información y procesamiento de datos / Directoras y gerentas de sistemas de información y procesamiento de datos;28;Criterio y toma de decisiones;
1;13302;Directores y gerentes de sistemas de información y procesamiento de datos / Directoras y gerentas de sistemas de información y procesamiento de datos;2;Escucha activa;
1;13302;Directores y gerentes de sistemas de información y procesamiento de datos / Directoras y gerentas de sistemas de información y procesamiento de datos;32;Gestión del Talento Humano y de Personal;
1;13303;Directores y gerentes de comunicaciones y audiovisuales / Directoras y gerentas de comunicaciones y audiovisuales;4;Comunicación asertiva;
1;13303;Directores y gerentes de comunicaciones y audiovisuales / Directoras y gerentas de comunicaciones y audiovisuales;39;Creatividad;
1;13303;Directores y gerentes de comunicaciones y audiovisuales / Directoras y gerentas de comunicaciones y audiovisuales;2;Escucha activa;
1;13303;Directores y gerentes de comunicaciones y audiovisuales / Directoras y gerentas de comunicaciones y audiovisuales;9;Evaluación y control de actividades;
1;13303;Directores y gerentes de comunicaciones y audiovisuales / Directoras y gerentas de comunicaciones y audiovisuales;6;Pensamiento crítico;
1;13303;Directores y gerentes de comunicaciones y audiovisuales / Directoras y gerentas de comunicaciones y audiovisuales;37;Proactividad;
1;13303;Directores y gerentes de comunicaciones y audiovisuales / Directoras y gerentas de comunicaciones y audiovisuales;3;Redacción de textos;
1;13410;Directores y gerentes de servicios de cuidados infantiles / Directoras y gerentas de servicios de cuidados infantiles;17;Análisis de necesidades;
1;13410;Directores y gerentes de servicios de cuidados infantiles / Directoras y gerentas de servicios de cuidados infantiles;4;Comunicación asertiva;
1;13410;Directores y gerentes de servicios de cuidados infantiles / Directoras y gerentas de servicios de cuidados infantiles;35;Flexibilidad y adaptabilidad;
1;13410;Directores y gerentes de servicios de cuidados infantiles / Directoras y gerentas de servicios de cuidados infantiles;32;Gestión del Talento Humano y de Personal;
1;13410;Directores y gerentes de servicios de cuidados infantiles / Directoras y gerentas de servicios de cuidados infantiles;31;Gestión de recursos materiales;
1;13410;Directores y gerentes de servicios de cuidados infantiles / Directoras y gerentas de servicios de cuidados infantiles;29;Gestión del tiempo;
1;13410;Directores y gerentes de servicios de cuidados infantiles / Directoras y gerentas de servicios de cuidados infantiles;16;Resolución de problemas complejos;
1;13420;Directores y gerentes de servicios de salud / Directoras y gerentas de servicios de salud;4;Comunicación asertiva;
1;13420;Directores y gerentes de servicios de salud / Directoras y gerentas de servicios de salud;28;Criterio y toma de decisiones;
1;13420;Directores y gerentes de servicios de salud / Directoras y gerentas de servicios de salud;29;Gestión del tiempo;
1;13420;Directores y gerentes de servicios de salud / Directoras y gerentas de servicios de salud;33;Liderazgo;
1;13420;Directores y gerentes de servicios de salud / Directoras y gerentas de servicios de salud;6;Pensamiento crítico;
1;13420;Directores y gerentes de servicios de salud / Directoras y gerentas de servicios de salud;16;Resolución de problemas complejos;
1;13420;Directores y gerentes de servicios de salud / Directoras y gerentas de servicios de salud;11;Trabajo en equipo;
1;13430;Directores y gerentes de servicios de atención a personas mayores / Directoras y gerentas de servicios de atención a personas mayores;1;Comprensión de lectura;
1;13430;Directores y gerentes de servicios de atención a personas mayores / Directoras y gerentas de servicios de atención a personas mayores;4;Comunicación asertiva;
1;13430;Directores y gerentes de servicios de atención a personas mayores / Directoras y gerentas de servicios de atención a personas mayores;2;Escucha activa;
1;13430;Directores y gerentes de servicios de atención a personas mayores / Directoras y gerentas de servicios de atención a personas mayores;29;Gestión del tiempo;
1;13430;Directores y gerentes de servicios de atención a personas mayores / Directoras y gerentas de servicios de atención a personas mayores;33;Liderazgo;
