"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;SIGLA;Área de Cualificación Principal;
2;26219;Otros archivistas, curadores de arte y restauradores no clasificados en otras ocupaciones / Otras archivistas, curadoras de arte y restauradoras no clasificadas en otras ocupaciones;AFDE;Administración, Finanzas y derecho;
2;26220;Bibliotecólogos, documentalistas y afines / Bibliotecólogas, documentalistas y afines;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;26310;Economistas;CISH;Ciencias sociales y humanidades;
2;26320;Sociólogos, antropólogos y afines / Sociólogas, antropólogas y afines;CISH;Ciencias sociales y humanidades;
2;26330;Filósofos, historiadores y especialistas en ciencias políticas / Filósofas, historiadoras y especialistas en ciencias políticas;CISH;Ciencias sociales y humanidades;
2;26340;Psicólogos / Psicólogas;CISH;Ciencias sociales y humanidades;
2;26351;Profesionales del trabajo social y consejeros;CISH;Ciencias sociales y humanidades;
2;26352;Gestores de recursos y donaciones / Gestoras de recursos y donaciones;AFDE;Administración, Finanzas y Derecho;
2;26360;Profesionales religiosos y ministros de culto / Profesionales religiosas y ministras de culto;CISH;Ciencias sociales y humanidades;
2;26410;Autores y otros escritores / Autoras y otras escritoras;LIAG;Literatura y artes gráficas;
2;26421;Periodistas;AVEM;Audiovisuales, Artes Escénicas y Música;
2;26422;Editores y redactores / Editoras y redactoras;LIAG;Literatura y artes gráficas;
2;26431;Traductores, intérpretes y lingüistas / Traductoras, intérpretes y lingüistas;CISH;Ciencias sociales y humanidades;
2;26432;Traductores e intérpretes de lenguas nativas / Traductoras e intérpretes de lenguas nativas;CISH;Ciencias sociales y humanidades;
2;26433;Intérpretes de lengua de señas;CISH;Ciencias sociales y humanidades;
2;26434;Guías-intérpretes;CISH;Ciencias sociales y humanidades;
2;26511;Artistas plásticos y visuales / Artistas plásticas y visuales;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;26512;Ilustradores artísticos / Ilustradoras artísticas;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;26521;Intérpretes musicales;AVEM;Audiovisuales, Artes Escénicas y Música;
2;26522;Directores e investigadores musicales / Directoras e investigadoras musicales;AVEM;Audiovisuales, Artes Escénicas y Música;
2;26523;Autores y compositores musicales / Autoras y compositoras musicales;AVEM;Audiovisuales, Artes Escénicas y Música;
2;26524;Ejecutantes musicales;AVEM;Audiovisuales, Artes Escénicas y Música;
2;26531;Compositores coreográficos e intérpretes de danza / Compositoras coreográficas e intérpretes de danza;AVEM;Audiovisuales, Artes Escénicas y Música;
2;26532;Bailarines y otros ejecutantes de la danza / Bailarinas y otras ejecutantes de la danza;AVEM;Audiovisuales, Artes Escénicas y Música;
2;26541;Productores, directores y editores de cine, teatro y afines / Productoras, directoras y editoras de cine, teatro y afines;AVEM;Audiovisuales, Artes Escénicas y Música;
2;26542;Productores de campo para las artes escénicas y audiovisuales / Productoras de campo para las artes escénicas y audiovisuales;AVEM;Audiovisuales, Artes Escénicas y Música;
2;26543;Realizadores y coordinadores de las artes escénicas, audiovisuales y afines / Realizadoras y coordinadoras de las artes escénicas, audiovisuales y afines;AVEM;Audiovisuales, Artes Escénicas y Música;
2;26551;Actores / Actrices;AVEM;Audiovisuales, Artes Escénicas y Música;
2;26559;Otros actores no clasificados en otras ocupaciones / Otras actrices no clasificadas en otras ocupaciones;AVEM;Audiovisuales, Artes Escénicas y Música;
2;26560;Locutores y presentadores de radio, televisión y otros medios de comunicación / Locutoras y presentadoras de radio, televisión y otros medios de comunicación;AVEM;Audiovisuales, Artes Escénicas y Música;
2;26591;Artistas creativos y ejecutantes de técnicas circenses / Artistas creativas y ejecutantes de técnicas circenses;AVEM;Audiovisuales, artes escénicas y música;
2;26599;Artistas creativos e interpretativos no clasificados en otras ocupaciones / Artistas creativas e interpretativas no clasificadas en otras ocupaciones;AVEM;Audiovisuales, artes escénicas y música;
3;31111;Técnicos en física y química / Técnicas en física y química;CNME;Ciencias naturales, matemáticas y estadística;
3;31112;Técnicos en geología / Técnicas en geología;CNME;Ciencias naturales, matemáticas y estadística;
3;31113;Técnicos en meteorología / Técnicas en meteorología;CNME;Ciencias Naturales, Matemáticas Y Estadística;
