"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;Nivel de Competencia;
3;31423;Inspectores de riego agrícola / Inspectoras de riego agrícola;3;
3;31424;Supervisores de producción agrícola / Supervisoras de producción agrícola;3;
3;31425;Supervisores de producción pecuaria / Supervisoras de producción pecuaria;3;
3;31426;Promotores de servicios agrícolas y relacionados / Promotoras de servicios agrícolas y relacionados;3;
3;31431;Técnicos forestales y de recursos naturales / Técnicas forestales y de recursos naturales;3;
3;31432;Supervisores de explotación forestal y silvicultura / Supervisoras de explotación forestal y silvicultura;3;
3;31510;Oficiales maquinistas en navegación;3;
3;31520;Capitanes y oficiales de cubierta;3;
3;31530;Pilotos, ingenieros e instructores de vuelo;3;
3;31540;Controladores de tráfico aéreo, marítimo y ferroviario / Controladoras de tráfico aéreo, marítimo y ferroviario;3;
3;31550;Técnicos en seguridad aeronáutica e instrumentos de aeronavegación / Técnicas en seguridad aeronáutica e instrumentos de aeronavegación;3;
3;32111;Técnicos y tecnólogos en imágenes diagnósticas / Técnicas y tecnólogas en imágenes diagnósticas;3;
3;32112;Técnicos y tecnólogos en radioterapia / Técnicas y tecnólogas en radioterapia;3;
3;32113;Técnicos y tecnólogos en medicina nuclear / Técnicas y tecnólogas en medicina nuclear;3;
3;32119;Otros técnicos en aparatos de diagnóstico y tratamiento médico no clasificados en otras ocupaciones / Otras técnicas en aparatos de diagnóstico y tratamiento médico no clasificados en otras ocupaciones;3;
3;32120;Técnicos de laboratorios médicos / Técnicas de laboratorios médicos;3;
3;32130;Técnicos y asistentes farmacéuticos / Técnicas y asistentes farmacéuticas;3;
3;32141;Técnicos en mecánica dental / Técnicas en mecánica dental;2;
3;32142;Técnicos de órtesis y prótesis médicas / Técnicas de órtesis y prótesis médicas;3;
3;32220;Técnicos y profesionales del nivel medio en partería tradicional / Técnicas y profesionales del nivel medio en partería tradicional;3;
3;32301;Técnicos y profesionales del nivel medio en medicina alternativa / Técnicas y profesionales del nivel medio en medicina alternativa;3;
3;32302;Practicantes de medicina tradicional ancestral / Practicantas de medicina tradicional ancestral;3;
3;32400;Técnicos y asistentes veterinarios / Técnicas y asistentes veterinarias;3;
3;32520;Técnicos en documentación sanitaria / Técnicas en documentación sanitaria;3;
3;32530;Trabajadores comunitarios de la salud / Trabajadoras comunitarias de la salud;3;
3;32540;Técnicos en óptica / Técnicas en óptica;3;
3;32550;Técnicos y asistentes terapeutas / Técnicas y asistentes terapeutas;3;
3;32560;Asistentes médicos / Asistentas médicas;3;
