"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;SIGLA;Área de Cualificación Complementaria;
3;31150;Técnicos en ingeniería mecánica / Técnicas en ingeniería mecánica;ELCA;Electrónica y automatización;
3;31150;Técnicos en ingeniería mecánica / Técnicas en ingeniería mecánica;PEEL;Producción de energía y electricidad;
3;31160;Técnicos en química industrial / Técnicas en química industrial;TCCD;Textil, cuero, confección y diseño de modas;
3;31171;Técnicos de minas y metalurgia / Técnicas de minas y metalurgia;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
3;31181;Delineantes y dibujantes técnicos / Delineantes y dibujantes técnicas;AVPP;Artes visuales, plásticas y del patrimonio cultural;
3;31181;Delineantes y dibujantes técnicos / Delineantes y dibujantes técnicas;LIAG;Literatura y artes gráficas;
3;31183;Graficadores de imágenes computarizadas / Graficadoras de imágenes computarizadas;COIF;Construcción e infraestructura;
3;31191;Técnicos en fabricación industrial / Técnicas en fabricación industrial;INQU;Industria química;
3;31191;Técnicos en fabricación industrial / Técnicas en fabricación industrial;TCCD;Textil, cuero, confección y diseño de modas;
3;31191;Técnicos en fabricación industrial / Técnicas en fabricación industrial;TMFM;Transformación de la madera y fabricación de muebles;
3;31199;Técnicos en ciencias físicas y en ingeniería no clasificados en otras ocupaciones / Técnicas en ciencias físicas y en ingeniería no clasificados en otras ocupaciones;AFDE;Administración, finanzas y derecho;
3;31199;Técnicos en ciencias físicas y en ingeniería no clasificados en otras ocupaciones / Técnicas en ciencias físicas y en ingeniería no clasificados en otras ocupaciones;CNME;Ciencias naturales, matemáticas y estadística;
3;31199;Técnicos en ciencias físicas y en ingeniería no clasificados en otras ocupaciones / Técnicas en ciencias físicas y en ingeniería no clasificados en otras ocupaciones;CPSA;Conservación, protección y saneamiento ambiental;
3;31199;Técnicos en ciencias físicas y en ingeniería no clasificados en otras ocupaciones / Técnicas en ciencias físicas y en ingeniería no clasificados en otras ocupaciones;ELCA;Electrónica y automatización;
3;31199;Técnicos en ciencias físicas y en ingeniería no clasificados en otras ocupaciones / Técnicas en ciencias físicas y en ingeniería no clasificados en otras ocupaciones;LOTR;Logística y transporte;
3;31199;Técnicos en ciencias físicas y en ingeniería no clasificados en otras ocupaciones / Técnicas en ciencias físicas y en ingeniería no clasificados en otras ocupaciones;SEGU;Seguridad;
3;31199;Técnicos en ciencias físicas y en ingeniería no clasificados en otras ocupaciones / Técnicas en ciencias físicas y en ingeniería no clasificados en otras ocupaciones;TCCD;Textil, cuero, confección y diseño de modas;
3;31212;Supervisores de perforación y servicio a pozos de petróleo y gas / Supervisoras de perforación y servicio a pozos de petróleo y gas;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
3;31213;Supervisores y analistas de producción de hidrocarburos / Supervisoras y analistas de producción de hidrocarburos;CPSA;Conservación, protección y saneamiento ambiental;
3;31213;Supervisores y analistas de producción de hidrocarburos / Supervisoras y analistas de producción de hidrocarburos;INQU;Industria química;
3;31222;Supervisores de fabricación y procesamiento de productos de plástico y caucho / Supervisoras de fabricación y procesamiento de productos de plástico y caucho;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
3;31223;Supervisores de procesamiento de la madera y producción de pulpa y papel / Supervisoras de procesamiento de la madera y producción de pulpa y papel;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
3;31223;Supervisores de procesamiento de la madera y producción de pulpa y papel / Supervisoras de procesamiento de la madera y producción de pulpa y papel;TMFM;Transformación de la madera y fabricación de muebles;
3;31225;Supervisores de impresión y ocupaciones relacionadas / Supervisoras de impresión y ocupaciones relacionadas;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
3;31226;Supervisores de fabricación y tratamiento de productos mecánicos, metálicos y minerales / Supervisoras de fabricación y tratamiento de productos mecánicos, metálicos y minerales;ELCA;Electrónica y automatización;
3;31226;Supervisores de fabricación y tratamiento de productos mecánicos, metálicos y minerales / Supervisoras de fabricación y tratamiento de productos mecánicos, metálicos y minerales;LOTR;Logística y transporte;
3;31227;Supervisores de fabricación y procesamiento de productos textiles, cuero y piel / Supervisoras de fabricación y procesamiento de productos textiles, cuero y piel;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
3;31228;Supervisores de fabricación de productos eléctricos y electrónicos / Supervisoras de fabricación de productos eléctricos y electrónicos;ELCA;Electrónica y automatización;
