code,municipality,type
25095,BITUIMA,Municipio
25099,BOJACÁ,Municipio
25120,CABRERA,Municipio
25123,CACHIPAY,Municipio
25126,CAJICÁ,Municipio
25148,CAPARRAPÍ,Municipio
25151,CÁQUEZA,Municipio
25154,CARMEN DE CARUPA,Municipio
25168,CHAGUANÍ,Municipio
25175,CHÍA,Municipio
25178,CHIPAQUE,Municipio
25181,CHOACHÍ,Municipio
25183,CHOCONTÁ,Municipio
25200,COGUA,Municipio
25214,COTA,Municipio
25224,CUCUNUBÁ,Municipio
25245,EL COLEGIO,Municipio
25258,EL PEÑÓN,Municipio
25260,EL ROSAL,Municipio
25269,FACATATIVÁ,Municipio
25279,FÓMEQUE,Municipio
25281,FOSCA,Municipio
25286,FUNZA,Municipio
25288,FÚQUENE,Municipio
25290,FUSAGASUGÁ,Municipio
25293,GACHALÁ,Municipio
25295,GACHANCIPÁ,Municipio
25297,GACHETÁ,Municipio
25299,GAMA,Municipio
25307,GIRARDOT,Municipio
25312,GRANADA,Municipio
25317,GUACHETÁ,Municipio
25320,GUADUAS,Municipio
25322,GUASCA,Municipio
25324,GUATAQUÍ,Municipio
25326,GUATAVITA,Municipio
25328,GUAYABAL DE SÍQUIMA,Municipio
25335,GUAYABETAL,Municipio
25339,GUTIÉRREZ,Municipio
25368,JERUSALÉN,Municipio
25372,JUNÍN,Municipio
25377,LA CALERA,Municipio
25386,LA MESA,Municipio
25394,LA PALMA,Municipio
25398,LA PEÑA,Municipio
25402,LA VEGA,Municipio
25407,LENGUAZAQUE,Municipio
25426,MACHETÁ,Municipio
25430,MADRID,Municipio
25436,MANTA,Municipio
25438,MEDINA,Municipio
25473,MOSQUERA,Municipio
25483,NARIÑO,Municipio
25486,NEMOCÓN,Municipio
25488,NILO,Municipio
25489,NIMAIMA,Municipio
25491,NOCAIMA,Municipio
25506,VENECIA,Municipio
25513,PACHO,Municipio
25518,PAIME,Municipio
25524,PANDI,Municipio
25530,PARATEBUENO,Municipio
25535,PASCA,Municipio
25572,PUERTO SALGAR,Municipio
25580,PULÍ,Municipio
25592,QUEBRADANEGRA,Municipio
25594,QUETAME,Municipio
25596,QUIPILE,Municipio
25599,APULO,Municipio
25612,RICAURTE,Municipio
25645,SAN ANTONIO DEL TEQUENDAMA,Municipio
25649,SAN BERNARDO,Municipio
25653,SAN CAYETANO,Municipio
25658,SAN FRANCISCO,Municipio
25662,SAN JUAN DE RIOSECO,Municipio
25718,SASAIMA,Municipio
25736,SESQUILÉ,Municipio
25740,SIBATÉ,Municipio
25743,SILVANIA,Municipio
25745,SIMIJACA,Municipio
25754,SOACHA,Municipio
25758,SOPÓ,Municipio
25769,SUBACHOQUE,Municipio
25772,SUESCA,Municipio
25777,SUPATÁ,Municipio
25779,SUSA,Municipio
25781,SUTATAUSA,Municipio
25785,TABIO,Municipio
25793,TAUSA,Municipio
25797,TENA,Municipio
25799,TENJO,Municipio
25805,TIBACUY,Municipio
25807,TIBIRITA,Municipio
25815,TOCAIMA,Municipio
25817,TOCANCIPÁ,Municipio
25823,TOPAIPÍ,Municipio
25839,UBALÁ,Municipio
25841,UBAQUE,Municipio
25843,VILLA DE SAN DIEGO DE UBATÉ,Municipio
25845,UNE,Municipio
25851,ÚTICA,Municipio
25862,VERGARA,Municipio
25867,VIANÍ,Municipio
25871,VILLAGÓMEZ,Municipio
25873,VILLAPINZÓN,Municipio
25875,VILLETA,Municipio
25878,VIOTÁ,Municipio
25885,YACOPÍ,Municipio
25898,ZIPACÓN,Municipio
25899,ZIPAQUIRÁ,Municipio
27001,QUIBDÓ,Municipio
27006,ACANDÍ,Municipio
27025,ALTO BAUDÓ,Municipio
27050,ATRATO,Municipio
27073,BAGADÓ,Municipio
27075,BAHÍA SOLANO,Municipio
27077,BAJO BAUDÓ,Municipio
27086,Belén De Bajira,Municipio
27099,BOJAYÁ,Municipio
27135,EL CANTÓN DEL SAN PABLO,Municipio
27150,CARMEN DEL DARIÉN,Municipio
27160,CÉRTEGUI,Municipio
27205,CONDOTO,Municipio
27245,EL CARMEN DE ATRATO,Municipio
27250,EL LITORAL DEL SAN JUAN,Municipio
27361,ISTMINA,Municipio
27372,JURADÓ,Municipio
27413,LLORÓ,Municipio
27425,MEDIO ATRATO,Municipio
27430,MEDIO BAUDÓ,Municipio
27450,MEDIO SAN JUAN,Municipio
27491,NÓVITA,Municipio
27493,Nuevo Belén de Bajirá,Municipio
27495,NUQUÍ,Municipio
27580,RÍO IRÓ,Municipio
27600,RÍO QUITO,Municipio
27615,RIOSUCIO,Municipio
27660,SAN JOSÉ DEL PALMAR,Municipio
27745,SIPÍ,Municipio
27787,TADÓ,Municipio
27800,UNGUÍA,Municipio
27810,UNIÓN PANAMERICANA,Municipio
41001,NEIVA,Municipio
41006,ACEVEDO,Municipio
41013,AGRADO,Municipio
41016,AIPE,Municipio
41020,ALGECIRAS,Municipio
41026,ALTAMIRA,Municipio
41078,BARAYA,Municipio
41132,CAMPOALEGRE,Municipio
41206,COLOMBIA,Municipio
41244,ELÍAS,Municipio
41298,GARZÓN,Municipio
41306,GIGANTE,Municipio
41319,GUADALUPE,Municipio
41349,HOBO,Municipio
41357,ÍQUIRA,Municipio
41359,ISNOS,Municipio
41378,LA ARGENTINA,Municipio
41396,LA PLATA,Municipio
41483,NÁTAGA,Municipio
41503,OPORAPA,Municipio
41518,PAICOL,Municipio
41524,PALERMO,Municipio
41530,PALESTINA,Municipio
41548,PITAL,Municipio
41551,PITALITO,Municipio
41615,RIVERA,Municipio
41660,SALADOBLANCO,Municipio
41668,SAN AGUSTÍN,Municipio
41676,SANTA MARÍA,Municipio
41770,SUAZA,Municipio
41791,TARQUI,Municipio
41797,TESALIA,Municipio
41799,TELLO,Municipio
41801,TERUEL,Municipio
41807,TIMANÁ,Municipio
41872,VILLAVIEJA,Municipio
41885,YAGUARÁ,Municipio
44001,RIOHACHA,Municipio
44035,ALBANIA,Municipio
44078,BARRANCAS,Municipio
44090,DIBULLA,Municipio
44098,DISTRACCIÓN,Municipio
44110,EL MOLINO,Municipio
44279,FONSECA,Municipio
44378,HATONUEVO,Municipio
44420,LA JAGUA DEL PILAR,Municipio
44430,MAICAO,Municipio
44560,MANAURE,Municipio
44650,SAN JUAN DEL CESAR,Municipio
44847,URIBIA,Municipio
44855,URUMITA,Municipio
44874,VILLANUEVA,Municipio
47001,SANTA MARTA,Municipio
47030,ALGARROBO,Municipio
47053,ARACATACA,Municipio
47058,ARIGUANÍ,Municipio
47161,CERRO DE SAN ANTONIO,Municipio
47170,CHIVOLO,Municipio
47189,CIÉNAGA,Municipio
47205,CONCORDIA,Municipio
47245,EL BANCO,Municipio
47258,EL PIÑÓN,Municipio
47268,EL RETÉN,Municipio
47288,FUNDACIÓN,Municipio
47318,GUAMAL,Municipio
47460,NUEVA GRANADA,Municipio
47541,PEDRAZA,Municipio
47545,PIJIÑO DEL CARMEN,Municipio
47551,PIVIJAY,Municipio
47555,PLATO,Municipio
47570,PUEBLOVIEJO,Municipio
47605,REMOLINO,Municipio
47660,SABANAS DE SAN ÁNGEL,Municipio
47675,SALAMINA,Municipio
47692,SAN SEBASTIÁN DE BUENAVISTA,Municipio
47703,SAN ZENÓN,Municipio
47707,SANTA ANA,Municipio
47720,SANTA BÁRBARA DE PINTO,Municipio
47745,SITIONUEVO,Municipio
47798,TENERIFE,Municipio
47960,ZAPAYÁN,Municipio
47980,ZONA BANANERA,Municipio
50001,VILLAVICENCIO,Municipio
50006,ACACÍAS,Municipio
50110,BARRANCA DE UPÍA,Municipio
50124,CABUYARO,Municipio
50150,CASTILLA LA NUEVA,Municipio
50223,CUBARRAL,Municipio
50226,CUMARAL,Municipio
50245,EL CALVARIO,Municipio
50251,EL CASTILLO,Municipio
50270,EL DORADO,Municipio
50287,FUENTE DE ORO,Municipio
50313,GRANADA,Municipio
50318,GUAMAL,Municipio
50325,MAPIRIPÁN,Municipio
50330,MESETAS,Municipio
50350,LA MACARENA,Municipio
50370,URIBE,Municipio
50400,LEJANÍAS,Municipio
50450,PUERTO CONCORDIA,Municipio
50568,PUERTO GAITÁN,Municipio
50573,PUERTO LÓPEZ,Municipio
50577,PUERTO LLERAS,Municipio
50590,PUERTO RICO,Municipio
50606,RESTREPO,Municipio
50680,SAN CARLOS DE GUAROA,Municipio
50683,SAN JUAN DE ARAMA,Municipio
50686,SAN JUANITO,Municipio
50689,SAN MARTÍN,Municipio
50711,VISTAHERMOSA,Municipio
52001,PASTO,Municipio
52019,ALBÁN,Municipio
52022,ALDANA,Municipio
52036,ANCUYÁ,Municipio
52051,ARBOLEDA,Municipio
52079,BARBACOAS,Municipio
52083,BELÉN,Municipio
52110,BUESACO,Municipio
52203,COLÓN,Municipio
52207,CONSACÁ,Municipio
52210,CONTADERO,Municipio
52215,CÓRDOBA,Municipio
52224,CUASPÚD,Municipio
52227,CUMBAL,Municipio
52233,CUMBITARA,Municipio
52240,CHACHAGÜÍ,Municipio
52250,EL CHARCO,Municipio
52254,EL PEÑOL,Municipio
52256,EL ROSARIO,Municipio
52258,EL TABLÓN DE GÓMEZ,Municipio
52260,EL TAMBO,Municipio
52287,FUNES,Municipio
52317,GUACHUCAL,Municipio
52320,GUAITARILLA,Municipio
52323,GUALMATÁN,Municipio
52352,ILES,Municipio
52354,IMUÉS,Municipio
52356,IPIALES,Municipio
52378,LA CRUZ,Municipio
52381,LA FLORIDA,Municipio
52385,LA LLANADA,Municipio
52390,LA TOLA,Municipio
52399,LA UNIÓN,Municipio
52405,LEIVA,Municipio
52411,LINARES,Municipio
52418,LOS ANDES,Municipio
52427,MAGÜÍ,Municipio
52435,MALLAMA,Municipio
52473,MOSQUERA,Municipio
52480,NARIÑO,Municipio
52490,OLAYA HERRERA,Municipio
52506,OSPINA,Municipio
52520,FRANCISCO PIZARRO,Municipio
52540,POLICARPA,Municipio
52560,POTOSÍ,Municipio
52565,PROVIDENCIA,Municipio
52573,PUERRES,Municipio
52585,PUPIALES,Municipio
52612,RICAURTE,Municipio
52621,ROBERTO PAYÁN,Municipio
52678,SAMANIEGO,Municipio
52683,SANDONÁ,Municipio
52685,SAN BERNARDO,Municipio
52687,SAN LORENZO,Municipio
52693,SAN PABLO,Municipio
52694,SAN PEDRO DE CARTAGO,Municipio
52696,SANTA BÁRBARA,Municipio
52699,SANTACRUZ,Municipio
52720,SAPUYES,Municipio
52786,TAMINANGO,Municipio
52788,TANGUA,Municipio
52835,SAN ANDRÉS DE TUMACO,Municipio
52838,TÚQUERRES,Municipio
52885,YACUANQUER,Municipio
54001,SAN JOSÉ DE CÚCUTA,Municipio
54003,ÁBREGO,Municipio
54051,ARBOLEDAS,Municipio
54099,BOCHALEMA,Municipio
54109,BUCARASICA,Municipio
54125,CÁCOTA,Municipio
54128,CÁCHIRA,Municipio
54172,CHINÁCOTA,Municipio
54174,CHITAGÁ,Municipio
54206,CONVENCIÓN,Municipio
54223,CUCUTILLA,Municipio
54239,DURANIA,Municipio
54245,EL CARMEN,Municipio
54250,EL TARRA,Municipio
54261,EL ZULIA,Municipio
54313,GRAMALOTE,Municipio
54344,HACARÍ,Municipio
54347,HERRÁN,Municipio
54377,LABATECA,Municipio
54385,LA ESPERANZA,Municipio
54398,LA PLAYA,Municipio
54405,LOS PATIOS,Municipio
54418,LOURDES,Municipio
54480,MUTISCUA,Municipio
54498,OCAÑA,Municipio
54518,PAMPLONA,Municipio
54520,PAMPLONITA,Municipio
54553,PUERTO SANTANDER,Municipio
54599,RAGONVALIA,Municipio
54660,SALAZAR,Municipio
54670,SAN CALIXTO,Municipio
54673,SAN CAYETANO,Municipio
54680,SANTIAGO,Municipio
54720,SARDINATA,Municipio
54743,SILOS,Municipio
54800,TEORAMA,Municipio
54810,TIBÚ,Municipio
54820,TOLEDO,Municipio
54871,VILLA CARO,Municipio
54874,VILLA DEL ROSARIO,Municipio
63001,ARMENIA,Municipio
63111,BUENAVISTA,Municipio
63130,CALARCÁ,Municipio
63190,CIRCASIA,Municipio
63212,CÓRDOBA,Municipio
63272,FILANDIA,Municipio
63302,GÉNOVA,Municipio
63401,LA TEBAIDA,Municipio
